Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
50,2.0,0.0,0.0,912.0,10.0,116.0,2522.0,0.1,55.815999999999995,0.0,0.0,503.6960651874542,,,,,,,,,,,,,,,,,,,,,20.352606448178094,15.83310556914632,53.56216842669633,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,972.0,11.0,60.0,2582.0,0.1,25.405000000000012,0.0,0.0,509.4348533153534,,,,,,,,,,,,,,,,,,,,,9.616854207576289,6.935390712300935,24.877719308443,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,1005.0,12.0,33.0,2615.0,0.1,13.505999999999993,0.0,0.0,512.7448675632477,,,,,,,,,,,,,,,,,,,,,3.7862800236662917,4.411509228068981,13.407855061486927,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,1072.0,13.0,67.0,2682.0,0.1,49.90599999999999,0.0,0.0,519.3114535808563,,,,,,,,,,,,,,,,,,,,,21.284950207718097,15.881145783083376,48.57701378664239,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,1091.0,14.0,19.0,2701.0,0.1,7.405,0.0,0.0,521.2869303226471,,,,,,,,,,,,,,,,,,,,,2.208189682769511,2.6080164594093933,7.377792603441659,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,1189.0,15.0,98.0,2799.0,0.1,57.806000000000026,0.0,0.0,530.7146408557892,,,,,,,,,,,,,,,,,,,,,25.61552203727835,16.06683784772637,55.40643630652347,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,1231.0,16.0,42.0,2841.0,0.1,19.608000000000025,0.0,0.0,534.8627262115479,,,,,,,,,,,,,,,,,,,,,5.6049713923620565,6.4672243755703,19.411394579284785,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,1359.0,17.0,128.0,2969.0,0.1,62.409000000000006,0.0,0.0,547.1791563034058,,,,,,,,,,,,,,,,,,,,,26.188759887791612,19.70938456355996,59.17512981887063,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,1422.0,18.0,63.0,3032.0,0.1,34.208999999999996,0.0,0.0,553.4643125534058,,,,,,,,,,,,,,,,,,,,,11.493056783817297,11.104855386065212,33.55200788638439,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,1453.0,19.0,31.0,3063.0,0.1,14.705999999999994,0.0,0.0,556.7647097110748,,,,,,,,,,,,,,,,,,,,,4.460691997968532,4.983560965676438,14.596897746658549,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,1538.0,20.0,85.0,3148.0,0.1,48.307000000000016,0.0,0.0,565.0438787937164,,,,,,,,,,,,,,,,,,,,,17.975872658408477,13.97756442697879,46.87274945018621,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,224.0,1.0,224.0,3372.0,0.1,149.20699999999997,0.0,0.0,844.9196774959564,,,,,,,,,,,,,,,,,,,,,64.9099618527991,37.1727240158356,134.93690742291153,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,347.0,2.0,123.0,3495.0,0.1,62.02099999999998,0.0,0.0,856.8237733840942,,,,,,,,,,,,,,,,,,,,,22.21129168350716,18.017198037266517,59.40776724966069,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
